Logits,Targets,Input_Lengths,Target_Lengths
"[[0.9700910320839513, 0.08049210747082913, 0.13457417547203554, 0.7403549176115602, 0.8647812844159661], [0.8579667026246898, 0.10201122003530783, 0.5104194412554575, 0.08133355682635213, 0.07703862409347273], [0.3418991421656328, 0.7595877085194994, 0.7546368166191764, 0.01673483521143282, 0.7378384647264765], [0.18715176045111515, 0.48232473913186136, 0.9330001040240178, 0.05609526434564749, 0.5231471551440567], [0.19841796152818547, 0.006927706144071011, 0.04415206231774493, 0.6398964109806989, 0.6677899011542567], [0.053528841132045146, 0.9357124060890553, 0.13282983993768405, 0.20234947405174286, 0.5462586510108809], [0.11131134213652882, 0.6034960109805929, 0.4817424887663171, 0.05766234583356, 0.8559357684662454], [0.1138546130315492, 0.07515248382170792, 0.3038058921588478, 0.6415735529141229, 0.3140914840648755], [0.8944161515687639, 0.8325428572153168, 0.981024613300267, 0.21420447951327615, 0.3356165589025889], [0.769766599169821, 0.052484124796852605, 0.32706471122707215, 0.25636368832628453, 0.7641394460833837]]","2,2,1,4,1",10,5
"[[0.9647072849660425, 0.9105106540927698, 0.8835756284717112, 0.3640357252992067, 0.4852093466760393], [0.5830691924166741, 0.6205842297534742, 0.29828486567226975, 0.5674126774853987, 0.9102427597063693], [0.14109984565476485, 0.04668903024212523, 0.7169224912962089, 0.001383600565761256, 0.5605159761639015], [0.19809721403192437, 0.09102008676611717, 0.06583879461052455, 0.8325276808374277, 0.08501979517209102], [0.9352570282128271, 0.43097689127135985, 0.6866028189623887, 0.8336735346975257, 0.2122643643879374], [0.6909834997300741, 0.7056903771654806, 0.277518855286335, 0.4996090396092332, 0.49215312336547845], [0.01714234507142154, 0.24364021736226393, 0.7288702681513318, 0.8615131283003175, 0.7956167331612704], [0.17398312608343847, 0.10990546277240043, 0.0508264007776249, 0.836390097201602, 0.5962961428989669], [0.29566653108871954, 0.7006844184808955, 0.39568571319196433, 0.7411969911001036, 0.9716869901996389], [0.6955065212397467, 0.3968083446917743, 0.6721719845877083, 0.773064653286102, 0.1792733719602173]]","1,4,4,4,3,4",10,6
"[[0.3394408751732235, 0.09114872461692891, 0.5756350891923936, 0.34538723078849287, 0.3324728249169159], [0.5645134446707113, 0.3797554875436365, 0.40643107336301776, 0.6946676942634299, 0.3145161322648453], [0.09982999545259352, 0.9655313334889368, 0.5859745762328882, 0.3729373366736891, 0.7999429071653691], [0.35377829670089733, 0.9251160461609444, 0.5561816727582058, 0.07444428589977958, 0.5706952812535003], [0.931123489693915, 0.8962545678293208, 0.5207226603327272, 0.5775977423783565, 0.3670014177209212], [0.5494529844593056, 0.4710556786260345, 0.3834375090524522, 0.5394522150971597, 0.755935010258796], [0.5961550766125836, 0.06362206739857323, 0.632391428966724, 0.6936145401865345, 0.48079598775289334], [0.05148135490643435, 0.9763386075963392, 0.7035411427088413, 0.9450180950755539, 0.7142705091547646], [0.6570994295343157, 0.6481878119833622, 0.7559441963597908, 0.5539580976999575, 0.8078154500072299], [0.5418085382022619, 0.4176763569890928, 0.960435642330148, 0.20688000375935756, 0.8761875243084124]]","4,3",10,2
"[[0.8541059447825555, 0.9521839888029635, 0.5539859141156815, 0.5093381173983063, 0.8186411312196137], [0.5524551658612096, 0.6734817136615461, 0.10859082635648576, 0.1943246585395918, 0.2642536864876366], [0.758587904838149, 0.6947916535415195, 0.046950597817719375, 0.4152562792769403, 0.4727270381116946], [0.1619123952759709, 0.5639461488219003, 0.5802766754860987, 0.8647458920099417, 0.629661999133155], [0.8764322555082402, 0.0845034208801545, 0.7328606654462295, 0.836735435800582, 0.7752506527445575], [0.4351585896536754, 0.5193247593832353, 0.5062264857088887, 0.5197908220906131, 0.0852449325129997], [0.6659217601407942, 0.19965066016066024, 0.09821268125289007, 0.5695277520116147, 0.07476109295158151], [0.4341346528547304, 0.5387517580486986, 0.08043029452305817, 0.299405653209027, 0.6783711014323255], [0.7421024223651016, 0.2633734925221255, 0.6700906422724929, 0.7736769973587189, 0.5966606855014549], [0.10472040315412734, 0.23683670474613205, 0.8006456409381747, 0.8329223560783658, 0.4755446401213964]]","4,2,1,2,3,3,2,2,3,3",10,10
"[[0.3063061033999648, 0.5791659087378609, 0.1271209829967651, 0.508037726607393, 0.5056250994008538], [0.022960353789705845, 0.767667854516004, 0.049011803856845004, 0.42590670566153965, 0.7547165562169699], [0.40059876649057224, 0.2762410168347119, 0.12315129178002404, 0.7128693193685964, 0.012053935887687328], [0.409120683408316, 0.2505567281475245, 0.5837250935539035, 0.1304771212941035, 0.3610762426636889], [0.9619945821192353, 0.7379945782468416, 0.7469768300391716, 0.26259127551067785, 0.6672007135162109], [0.958977209273831, 0.48963514587041057, 0.9950457653590492, 0.5063109783237969, 0.15674668682818715], [0.40184367724034253, 0.2877186755759702, 0.29824561730733135, 0.9344966002483285, 0.5167343639656846], [0.7491076565335406, 0.9778458823628958, 0.48121410284843247, 0.8037868245971144, 0.5595329018983718], [0.36272307369142476, 0.5320824128214768, 0.1713378902358691, 0.2004228770054859, 0.05684544208654696], [0.24980867933491813, 0.14554219098128696, 0.027512569427303624, 0.3138275333823163, 0.6034181883693106]]",3,10,1
"[[0.19978572527009564, 0.6111353285485438, 0.9560307325074537, 0.20195839190448783, 0.22879687921729042], [0.5383357716163898, 0.5632501848905632, 0.44213524650869596, 0.8012991468206414, 0.4383933576502044], [0.6306151283195662, 0.5764529548013473, 0.925990941176382, 0.1003548612520293, 0.9097969608946491], [0.091323227153425, 0.12671315449081166, 0.10503580302340565, 0.43513747560059535, 0.7159493396426548], [0.0038722214627538998, 0.268248374932891, 0.06922141375809077, 0.7078513389628271, 0.24148913559153484], [0.916828604097089, 0.1707283675165152, 0.21825693260680645, 0.8680204972873665, 0.19157123482112637], [0.5467338073802559, 0.36332285458524793, 0.06915985637052557, 0.6197495879472515, 0.3752469630772337], [0.36127909356191146, 0.7767588925131523, 0.672823537200376, 0.5237380206139745, 0.3755018896364154], [0.12297720722534022, 0.73108498774317, 0.03910077870148243, 0.7358084814709678, 0.5074580615477123], [0.9607255560642717, 0.7397352278441686, 0.1404227346058885, 0.6725346202483957, 0.7642777666390282]]","2,4,2,1,1,3",10,6
"[[0.4974647593627136, 0.8773467885272621, 0.7863139122070599, 0.542103644334833, 0.8450435122278218], [0.18047844430388582, 0.23429692814279457, 0.2924538997849627, 0.8705916405673515, 0.7444753721352778], [0.5130897835292846, 0.6114120335096326, 0.7067708700758194, 0.7235343242975716, 0.437421332092491], [0.13877788269972546, 0.975845149931716, 0.44437654652771486, 0.5586197518310969, 0.08442481947401337], [0.56514190505959, 0.6111495144423065, 0.14399452231003862, 0.8291050677350724, 0.5300383980521618], [0.666067192780139, 0.8472790914680701, 0.03400015701019743, 0.5932244618300512, 0.7684874707115652], [0.20725877298722128, 0.046611053288496684, 0.22831823243090732, 0.37208659860634863, 0.9337413815876843], [0.9564050101658694, 0.39652944190157935, 0.01632715460644707, 0.3750194244895416, 0.9521919772790096], [0.41591001377775383, 0.976430210627631, 0.7590555684554131, 0.31209447373806876, 0.09177322781099373], [0.03974469260281133, 0.9827399033342651, 0.44464612275366255, 0.9372214477450991, 0.17059169172586874]]","3,3,1,1,2,2,1",10,7
"[[0.5059430060078677, 0.13473276678750634, 0.3220604161361904, 0.1435467634371248, 0.2898657057628382], [0.8797560688864139, 0.6687900252633601, 0.08330110523791456, 0.23738559605866705, 0.2293151305800355], [0.3391274097544299, 0.36442402344506974, 0.34183294836764555, 0.11099798888084367, 0.16276460986273034], [0.5958732759330841, 0.25004312282032304, 0.905683889251199, 0.03816950798498275, 0.0266141742762529], [0.15133637074480888, 0.4352287642856906, 0.7530252760282482, 0.8087634414842685, 0.8621761245298382], [0.5260778663377543, 0.1960831360437355, 0.8988991794479612, 0.6599973591638856, 0.23509198700347467], [0.4296166362921998, 0.7280400517638443, 0.1788506185794032, 0.24205162440050487, 0.8229291878439658], [0.09778208147044132, 0.13686019509080916, 0.25583251897871573, 0.301650877368249, 0.9303098223808112], [0.17311151644232636, 0.5997510960718393, 0.8639769147105489, 0.7327236451025919, 0.794346999840009], [0.4380002528904222, 0.3559798590426432, 0.7864921154589348, 0.15303434552294237, 0.6253718747707515]]","1,2,2,2,3,2",10,6
"[[0.3342996656409748, 0.5221092478082474, 0.3307871660168109, 0.12445925469405228, 0.774147345980203], [0.3034525633759888, 0.02750041383365809, 0.5322618453359141, 0.34032260721983276, 0.21196599471766098], [0.9904061802459703, 0.5808598897047025, 0.7708342754542459, 0.18602155901910644, 0.14484378648792706], [0.3387087854983487, 0.7414746518199401, 0.1517725510154917, 0.2550409640739084, 0.6301719164909143], [0.7142273358899532, 0.25198931867029606, 0.6577925763337427, 0.9387364805747768, 0.2191722807066876], [0.0035882316544609827, 0.7695674066032026, 0.7303922039402764, 0.3435620435114145, 0.6528081692603863], [0.2701336765048331, 0.7968991619650089, 0.6784887616590708, 0.37451231342052926, 0.4493376917895344], [0.7359164276988024, 0.7788146990752158, 0.7095994919553843, 0.4808783611672518, 0.9157187294727027], [0.9889223149980474, 0.08278319540259871, 0.6646569289723278, 0.47565989113824625, 0.31841532647684234], [0.5986740770836351, 0.030012710870432224, 0.9133287160301227, 0.4822424332306028, 0.8275179141348058]]","4,2,4,4,3,3,4,3",10,8
"[[0.995340890230214, 0.10997007247070978, 0.6725036550172331, 0.156795800435234, 0.6418331302788916], [0.4377059454324823, 0.006989796890033428, 0.789473076165683, 0.32430556324456716, 0.3838857149276519], [0.4063607046720289, 0.8348102355575646, 0.3363104778110835, 0.9898537160095171, 0.2896854441609844], [0.22599797145536227, 0.6591913689225948, 0.7947363444902074, 0.2817124132540545, 0.464472605009005], [0.7209167167519261, 0.7110669719472428, 0.49911947193974693, 0.08519196480116431, 0.6860353137492018], [0.7905714225469866, 0.5043114155743461, 0.38236398711986397, 0.35607765027233174, 0.23867506759013757], [0.6181698375724515, 0.4274384922388934, 0.41637565270104915, 0.3863026640285796, 0.015600829505278968], [0.6362569742285983, 0.5834286863661072, 0.5215675789828473, 0.6595481565520692, 0.8624779257406059], [0.08430330728288371, 0.7487089706607415, 0.7387404596605156, 0.8541956524007229, 0.15624867836026923], [0.27965502910342466, 0.052295752279722274, 0.40642135612505015, 0.8036324163908679, 0.18406837506739882]]","2,2,3,1,3,2,2",10,7
"[[0.4959337257979538, 0.9733591360461205, 0.990926066881974, 0.927608558163892, 0.4733019337246309], [0.9841528335579122, 0.2503222193893986, 0.19890095383276263, 0.21486134206905672, 0.045166174620862476], [0.19380321898662667, 0.23618859199391107, 0.24453884255208336, 0.1014073976918467, 0.2694544912248241], [0.05472502846449745, 0.5761650636495407, 0.07843606157648986, 0.12172116288673673, 0.2128447529110411], [0.5372382234265138, 0.9554154581988604, 0.29913148744739837, 0.5896816488250272, 0.8053144018450861], [0.11023586373521044, 0.8248111861465851, 0.3805883246988132, 0.8398354373075929, 0.4410536665999295], [0.7924319999185312, 0.3818996150125762, 0.809124782896392, 0.7352904241124203, 0.08673061378548375], [0.5440395174479463, 0.5179761344428765, 0.10212784738758096, 0.3778722577056879, 0.6187344065749093], [0.23001932552324922, 0.2542544375713993, 0.9684958767841628, 0.39127031444646476, 0.20442875981480613], [0.3027390907972126, 0.14057738844215584, 0.27827252329631347, 0.8944605632847925, 0.10592532217111361]]","4,1,1,4,3,2,3,4",10,8
"[[0.3954829532960513, 0.20333018682690807, 0.911072833843956, 0.7077581374703016, 0.9357364400638615], [0.9747300796553525, 0.6623634326480122, 0.04082610300089151, 0.8211596580469648, 0.8259852676498538], [0.8509348229494231, 0.7469018510943072, 0.02836684923190047, 0.8999186224772014, 0.5688245928000989], [0.32739276434638853, 0.9175756246145053, 0.015358882313053157, 0.05810395007884639, 0.3320970889473611], [0.9713785205189752, 0.2734720374633097, 0.09371038055231795, 0.7348133690146869, 0.47018019804629374], [0.05438182385233825, 0.08377230523711898, 0.8809929510684634, 0.8529066629740241, 0.7272536643803758], [0.4476436392198747, 0.039555621906324334, 0.4092862609690824, 0.9177201495004693, 0.2571298175861384], [0.2519445347173159, 0.9499995035306014, 0.17266310070765745, 0.8850858490931591, 0.9984000040720061], [0.016094319218564967, 0.23068885898068348, 0.9321596985407907, 0.06941165925731463, 0.18508147480936388], [0.3337134240500649, 0.5958343573887602, 0.8595346576490369, 0.6436178368126487, 0.9945262810958176]]","3,4,4",10,3
"[[0.7373733895776224, 0.9601844250836887, 0.0028479485645699354, 0.4405559453652398, 0.037592637308980326], [0.29921331802097806, 0.8520393675948432, 0.2853323571217321, 0.7848479043842115, 0.3061755514048051], [0.6529734343928868, 0.858398221159251, 0.927053601998954, 0.33145068037341774, 0.6726753957043046], [0.3725494305551228, 0.03475877343728562, 0.9591286313482145, 0.2635634691058971, 0.8027546251805789], [0.1631010784581991, 0.4214916863355711, 0.5962237050139223, 0.6627292186554387, 0.22340338287908412], [0.07187700803328001, 0.6076310689066325, 0.29755511784073496, 0.6169146957079117, 0.9203775268866388], [0.3586930238902841, 0.675901312131279, 0.570990644464783, 0.038202054074963465, 0.005448901690678465], [0.1833564007947256, 0.2243456839896253, 0.259250091325849, 0.014800562706434817, 0.2605468215018878], [0.033758469204436814, 0.32985169797186753, 0.1654120070161741, 0.5061064515518955, 0.2185698959753163], [0.07717613225171627, 0.06504765096238474, 0.53152938865614, 0.808887656452508, 0.2845654012493346]]","3,2,4,1,4",10,5
"[[0.45508888464590114, 0.08403985928074742, 0.40885720285438976, 0.19949473314093302, 0.5509733434244608], [0.319126614115665, 0.5743517241943432, 0.1815618108218715, 0.11126686334777658, 0.07553993858495489], [0.846212845504037, 0.41258488825517126, 0.16924270017370446, 0.567077496477479, 0.6308920927205413], [0.24048272595245757, 0.3861340381078775, 0.2532976472894779, 0.06707521072969003, 0.3606236578876134], [0.439981631346281, 0.13497751524574197, 0.6619151705748029, 0.8203599228170162, 0.8700919713750542], [0.721580542253063, 0.4291215076352536, 0.23194178631328644, 0.5764721741357407, 0.9846066685001442], [0.5127050520031184, 0.15468562784621376, 0.03237785717801789, 0.5446848517401658, 0.29037223043768434], [0.8033916780001508, 0.43896955105670743, 0.3618240863779981, 0.059109437239481366, 0.42498798548646144], [0.09957361612817694, 0.7173255797768986, 0.4146109182489697, 0.7554598646485349, 0.5241962777292364], [0.7884015067627184, 0.2522340064007621, 0.4943031548805811, 0.3262739533031799, 0.6405919179794836]]","2,4,1,3,4,4,4,4,4",10,9
"[[0.29745798861368933, 0.6974439002126523, 0.2841898947510161, 0.06333752349289712, 0.5212525506005204], [0.1818278781510203, 0.9647485740766337, 0.9079441434032375, 0.547849566123803, 0.38894665467653877], [0.7312664888317696, 0.41418259481990416, 0.302846176867795, 0.7450522345289892, 0.21686031210192946], [0.42380645532243777, 0.5192326444382259, 0.09964848245508662, 0.6503950817484855, 0.44461754967934497], [0.6178354618801483, 0.44573824633938774, 0.9560515146729297, 0.5152572276852083, 0.10980421318138245], [0.27700998429997625, 0.6093086100084096, 0.5290458161776816, 0.6501056215723747, 0.9798807266324786], [0.13696567495653555, 0.2350432649700499, 0.2997060853154744, 0.5232308701042256, 0.971261542555186], [0.7386795341503261, 0.5246332174566568, 0.5745187987284794, 0.08436120443488304, 0.7761310463685792], [0.7235675484581643, 0.8836514861432554, 0.6219830327074023, 0.27422442180482987, 0.6202924603536119], [0.19210349464785603, 0.09009378201100915, 0.47968942094545675, 0.8137934095529353, 0.12701574107851754]]","2,3,2",10,3
"[[0.5621298131122501, 0.828160368304925, 0.8182613575505576, 0.8846895623738356, 0.7677864090462566], [0.9222694819647249, 0.620245545556063, 0.9362495837109446, 0.2062942486495397, 0.8431750328881089], [0.9306567957521734, 0.31406632875698504, 0.4889516480476954, 0.889102950064209, 0.15741220814307333], [0.4380316404725273, 0.9245747024758998, 0.9180271930915702, 0.1578948966546485, 0.8603543131344913], [0.022198196519010005, 0.4111199282331185, 0.45971057706180707, 0.9612120736697854, 0.10405741037221816], [0.5833911589237323, 0.0934806628131748, 0.9801542375558389, 0.1222368361691043, 0.09568566351548136], [0.6489637754681645, 0.6204148367549182, 0.38140687646583227, 0.24392423838057242, 0.09878197079598916], [0.4611539591063407, 0.6948905701415516, 0.7594503349604417, 0.6863975688639905, 0.07160439908936178], [0.8601741657290469, 0.5436558732836868, 0.22600902789513655, 0.7632883820316417, 0.774923420004912], [0.06843334514418842, 0.07379191373290961, 0.6908480058897005, 0.6047061228263318, 0.9944745224133192]]","2,2,1,3,2,1,1",10,7
"[[0.7726027487797034, 0.025980219976278862, 0.3728965477258699, 0.26800087992060195, 0.49839015147793564], [0.33231085400968763, 0.8352643586312749, 0.5602682635275918, 0.5881894622876278, 0.7102008099490119], [0.373620297544939, 0.3702720775374799, 0.03981099837887658, 0.6509464244970495, 0.9727283745255857], [0.25481671435325726, 0.6727850631068433, 0.8291098333256515, 0.23074635783110398, 0.25746142980619124], [0.6720509326015378, 0.9362232769278743, 0.8224228306093836, 0.26620246002307324, 0.8162589795636349], [0.7175383259063749, 0.632042426485222, 0.778318713179509, 0.9003952916427903, 0.2828708713206858], [0.29049246097167614, 0.013886257711094974, 0.7192917290322861, 0.1881795106141333, 0.5148240856721505], [0.10218818619025527, 0.2906003605992382, 0.6371320412286389, 0.24303330106219945, 0.9055640463319937], [0.017549434123423246, 0.8109720749701479, 0.9111777469856368, 0.7007963109649391, 0.6075795547645603], [0.9234291379251148, 0.029145608194606987, 0.49734251289575315, 0.024777254586061614, 0.5533911094809614]]","2,1,3",10,3
